board_width,board_height,health,my_head_x,my_head_y,game_id,turn,seed,direction,label_source
11,11,97,9,3,31be0014-85c9-4192-a11c-46ba08268ca7,34,100,down,rule_based_agent
11,11,96,9,2,31be0014-85c9-4192-a11c-46ba08268ca7,35,100,down,rule_based_agent
11,11,95,9,1,31be0014-85c9-4192-a11c-46ba08268ca7,36,100,right,rule_based_agent
11,11,94,10,1,31be0014-85c9-4192-a11c-46ba08268ca7,37,100,up,rule_based_agent
11,11,93,10,2,31be0014-85c9-4192-a11c-46ba08268ca7,38,100,up,rule_based_agent
11,11,92,10,3,31be0014-85c9-4192-a11c-46ba08268ca7,39,100,up,rule_based_agent
11,11,91,10,4,31be0014-85c9-4192-a11c-46ba08268ca7,40,100,left,rule_based_agent
11,11,90,9,4,31be0014-85c9-4192-a11c-46ba08268ca7,41,100,up,rule_based_agent
11,11,89,9,5,31be0014-85c9-4192-a11c-46ba08268ca7,42,100,right,rule_based_agent
11,11,88,10,5,31be0014-85c9-4192-a11c-46ba08268ca7,43,100,up,rule_based_agent
11,11,100,10,6,31be0014-85c9-4192-a11c-46ba08268ca7,44,100,up,rule_based_agent
11,11,99,10,7,31be0014-85c9-4192-a11c-46ba08268ca7,45,100,up,rule_based_agent
11,11,98,10,8,31be0014-85c9-4192-a11c-46ba08268ca7,46,100,up,rule_based_agent
11,11,97,10,9,31be0014-85c9-4192-a11c-46ba08268ca7,47,100,up,rule_based_agent
11,11,96,10,10,31be0014-85c9-4192-a11c-46ba08268ca7,48,100,left,rule_based_agent
11,11,95,9,10,31be0014-85c9-4192-a11c-46ba08268ca7,49,100,left,rule_based_agent
11,11,100,8,10,31be0014-85c9-4192-a11c-46ba08268ca7,50,100,down,rule_based_agent
11,11,99,8,9,31be0014-85c9-4192-a11c-46ba08268ca7,51,100,right,rule_based_agent
11,11,98,9,9,31be0014-85c9-4192-a11c-46ba08268ca7,52,100,down,rule_based_agent
11,11,97,9,8,31be0014-85c9-4192-a11c-46ba08268ca7,53,100,right,rule_based_agent
11,11,96,10,8,31be0014-85c9-4192-a11c-46ba08268ca7,54,100,up,rule_based_agent
11,11,95,10,9,31be0014-85c9-4192-a11c-46ba08268ca7,55,100,up,rule_based_agent
11,11,94,10,10,31be0014-85c9-4192-a11c-46ba08268ca7,56,100,left,rule_based_agent
11,11,93,9,10,31be0014-85c9-4192-a11c-46ba08268ca7,57,100,left,rule_based_agent
11,11,92,8,10,31be0014-85c9-4192-a11c-46ba08268ca7,58,100,left,rule_based_agent
11,11,91,7,10,31be0014-85c9-4192-a11c-46ba08268ca7,59,100,left,rule_based_agent
11,11,90,6,10,31be0014-85c9-4192-a11c-46ba08268ca7,60,100,left,rule_based_agent
11,11,89,5,10,31be0014-85c9-4192-a11c-46ba08268ca7,61,100,down,rule_based_agent
11,11,88,5,9,31be0014-85c9-4192-a11c-46ba08268ca7,62,100,down,rule_based_agent
11,11,87,5,8,31be0014-85c9-4192-a11c-46ba08268ca7,63,100,left,rule_based_agent
11,11,100,4,8,31be0014-85c9-4192-a11c-46ba08268ca7,64,100,left,rule_based_agent
11,11,100,3,8,31be0014-85c9-4192-a11c-46ba08268ca7,65,100,down,rule_based_agent
11,11,99,3,7,31be0014-85c9-4192-a11c-46ba08268ca7,66,100,left,rule_based_agent
11,11,98,2,7,31be0014-85c9-4192-a11c-46ba08268ca7,67,100,up,rule_based_agent
11,11,97,2,8,31be0014-85c9-4192-a11c-46ba08268ca7,68,100,left,rule_based_agent
11,11,96,1,8,31be0014-85c9-4192-a11c-46ba08268ca7,69,100,left,rule_based_agent
11,11,95,0,8,31be0014-85c9-4192-a11c-46ba08268ca7,70,100,down,rule_based_agent
11,11,94,0,7,31be0014-85c9-4192-a11c-46ba08268ca7,71,100,right,rule_based_agent
11,11,93,1,7,31be0014-85c9-4192-a11c-46ba08268ca7,72,100,down,rule_based_agent
11,11,92,1,6,31be0014-85c9-4192-a11c-46ba08268ca7,73,100,down,rule_based_agent
11,11,91,1,5,31be0014-85c9-4192-a11c-46ba08268ca7,74,100,right,rule_based_agent
11,11,90,2,5,31be0014-85c9-4192-a11c-46ba08268ca7,75,100,right,rule_based_agent
11,11,89,3,5,31be0014-85c9-4192-a11c-46ba08268ca7,76,100,down,rule_based_agent
11,11,88,3,4,31be0014-85c9-4192-a11c-46ba08268ca7,77,100,down,rule_based_agent
11,11,87,3,3,31be0014-85c9-4192-a11c-46ba08268ca7,78,100,down,rule_based_agent
11,11,100,3,2,31be0014-85c9-4192-a11c-46ba08268ca7,79,100,left,rule_based_agent
11,11,99,2,2,31be0014-85c9-4192-a11c-46ba08268ca7,80,100,left,rule_based_agent
11,11,98,1,2,31be0014-85c9-4192-a11c-46ba08268ca7,81,100,left,rule_based_agent
11,11,97,0,2,31be0014-85c9-4192-a11c-46ba08268ca7,82,100,up,rule_based_agent
11,11,96,0,3,31be0014-85c9-4192-a11c-46ba08268ca7,83,100,up,rule_based_agent
11,11,95,0,4,31be0014-85c9-4192-a11c-46ba08268ca7,84,100,up,rule_based_agent
11,11,94,0,5,31be0014-85c9-4192-a11c-46ba08268ca7,85,100,right,rule_based_agent
11,11,93,1,5,31be0014-85c9-4192-a11c-46ba08268ca7,86,100,right,rule_based_agent
11,11,92,2,5,31be0014-85c9-4192-a11c-46ba08268ca7,87,100,right,rule_based_agent
11,11,91,3,5,31be0014-85c9-4192-a11c-46ba08268ca7,88,100,up,rule_based_agent
11,11,90,3,6,31be0014-85c9-4192-a11c-46ba08268ca7,89,100,right,rule_based_agent
11,11,89,4,6,31be0014-85c9-4192-a11c-46ba08268ca7,90,100,right,rule_based_agent
11,11,88,5,6,31be0014-85c9-4192-a11c-46ba08268ca7,91,100,right,rule_based_agent
11,11,100,6,6,31be0014-85c9-4192-a11c-46ba08268ca7,92,100,right,rule_based_agent
11,11,99,7,6,31be0014-85c9-4192-a11c-46ba08268ca7,93,100,down,rule_based_agent
11,11,98,7,5,31be0014-85c9-4192-a11c-46ba08268ca7,94,100,left,rule_based_agent
11,11,100,6,5,31be0014-85c9-4192-a11c-46ba08268ca7,95,100,left,rule_based_agent
11,11,100,5,5,31be0014-85c9-4192-a11c-46ba08268ca7,96,100,down,rule_based_agent
11,11,99,5,4,31be0014-85c9-4192-a11c-46ba08268ca7,97,100,right,rule_based_agent
11,11,98,6,4,31be0014-85c9-4192-a11c-46ba08268ca7,98,100,down,rule_based_agent
11,11,100,6,3,31be0014-85c9-4192-a11c-46ba08268ca7,99,100,left,rule_based_agent
11,11,99,5,3,31be0014-85c9-4192-a11c-46ba08268ca7,100,100,down,rule_based_agent
11,11,98,5,2,31be0014-85c9-4192-a11c-46ba08268ca7,101,100,right,rule_based_agent
11,11,97,6,2,31be0014-85c9-4192-a11c-46ba08268ca7,102,100,down,rule_based_agent
11,11,96,6,1,31be0014-85c9-4192-a11c-46ba08268ca7,103,100,right,rule_based_agent
11,11,95,7,1,31be0014-85c9-4192-a11c-46ba08268ca7,104,100,right,rule_based_agent
11,11,94,8,1,31be0014-85c9-4192-a11c-46ba08268ca7,105,100,up,rule_based_agent
11,11,93,8,2,31be0014-85c9-4192-a11c-46ba08268ca7,106,100,up,rule_based_agent
11,11,92,8,3,31be0014-85c9-4192-a11c-46ba08268ca7,107,100,left,rule_based_agent
11,11,100,7,3,31be0014-85c9-4192-a11c-46ba08268ca7,108,100,up,rule_based_agent
11,11,99,7,4,31be0014-85c9-4192-a11c-46ba08268ca7,109,100,right,rule_based_agent
11,11,98,8,4,31be0014-85c9-4192-a11c-46ba08268ca7,110,100,up,rule_based_agent
11,11,97,8,5,31be0014-85c9-4192-a11c-46ba08268ca7,111,100,right,rule_based_agent
11,11,96,9,5,31be0014-85c9-4192-a11c-46ba08268ca7,112,100,right,rule_based_agent
11,11,95,10,5,31be0014-85c9-4192-a11c-46ba08268ca7,113,100,down,rule_based_agent
11,11,94,10,4,31be0014-85c9-4192-a11c-46ba08268ca7,114,100,down,rule_based_agent
11,11,93,10,3,31be0014-85c9-4192-a11c-46ba08268ca7,115,100,left,rule_based_agent
11,11,92,9,3,31be0014-85c9-4192-a11c-46ba08268ca7,116,100,up,rule_based_agent
11,11,100,5,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,0,101,down,rule_based_agent
11,11,99,5,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,1,101,right,rule_based_agent
11,11,100,6,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,2,101,right,rule_based_agent
11,11,99,7,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,3,101,up,rule_based_agent
11,11,98,7,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,4,101,right,rule_based_agent
11,11,97,8,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,5,101,right,rule_based_agent
11,11,96,9,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,6,101,up,rule_based_agent
11,11,95,9,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,7,101,right,rule_based_agent
11,11,94,10,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,8,101,up,rule_based_agent
11,11,93,10,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,9,101,left,rule_based_agent
11,11,92,9,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,10,101,left,rule_based_agent
11,11,91,8,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,11,101,left,rule_based_agent
11,11,90,7,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,12,101,up,rule_based_agent
11,11,89,7,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,13,101,left,rule_based_agent
11,11,88,6,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,14,101,down,rule_based_agent
11,11,87,6,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,15,101,down,rule_based_agent
11,11,86,6,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,16,101,left,rule_based_agent
11,11,85,5,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,17,101,up,rule_based_agent
11,11,84,5,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,18,101,up,rule_based_agent
11,11,83,5,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,19,101,up,rule_based_agent
11,11,100,5,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,20,101,left,rule_based_agent
11,11,99,4,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,21,101,left,rule_based_agent
11,11,98,3,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,22,101,down,rule_based_agent
11,11,97,3,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,23,101,down,rule_based_agent
11,11,96,3,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,24,101,left,rule_based_agent
11,11,100,2,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,25,101,down,rule_based_agent
11,11,99,2,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,26,101,down,rule_based_agent
11,11,98,2,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,27,101,right,rule_based_agent
11,11,97,3,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,28,101,down,rule_based_agent
11,11,96,3,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,29,101,right,rule_based_agent
11,11,100,4,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,30,101,up,rule_based_agent
11,11,99,4,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,31,101,up,rule_based_agent
11,11,100,4,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,32,101,left,rule_based_agent
11,11,99,3,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,33,101,up,rule_based_agent
11,11,98,3,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,34,101,left,rule_based_agent
11,11,97,2,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,35,101,up,rule_based_agent
11,11,96,2,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,36,101,up,rule_based_agent
11,11,95,2,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,37,101,right,rule_based_agent
11,11,94,3,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,38,101,right,rule_based_agent
11,11,93,4,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,39,101,right,rule_based_agent
11,11,92,5,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,40,101,down,rule_based_agent
11,11,91,5,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,41,101,right,rule_based_agent
11,11,90,6,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,42,101,down,rule_based_agent
11,11,89,6,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,43,101,left,rule_based_agent
11,11,88,5,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,44,101,left,rule_based_agent
11,11,87,4,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,45,101,up,rule_based_agent
11,11,86,4,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,46,101,left,rule_based_agent
11,11,85,3,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,47,101,up,rule_based_agent
11,11,84,3,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,48,101,left,rule_based_agent
11,11,83,2,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,49,101,left,rule_based_agent
11,11,82,1,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,50,101,left,rule_based_agent
11,11,81,0,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,51,101,down,rule_based_agent
11,11,80,0,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,52,101,down,rule_based_agent
11,11,79,0,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,53,101,right,rule_based_agent
11,11,78,1,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,54,101,up,rule_based_agent
11,11,77,1,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,55,101,right,rule_based_agent
11,11,76,2,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,56,101,right,rule_based_agent
11,11,75,3,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,57,101,up,rule_based_agent
11,11,74,3,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,58,101,left,rule_based_agent
11,11,73,2,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,59,101,left,rule_based_agent
11,11,72,1,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,60,101,up,rule_based_agent
11,11,71,1,6,8af96da7-cb66-4c8c-b114-ec75675b5a5e,61,101,left,rule_based_agent
11,11,70,0,6,8af96da7-cb66-4c8c-b114-ec75675b5a5e,62,101,up,rule_based_agent
11,11,69,0,7,8af96da7-cb66-4c8c-b114-ec75675b5a5e,63,101,up,rule_based_agent
11,11,68,0,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,64,101,right,rule_based_agent
11,11,67,1,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,65,101,up,rule_based_agent
11,11,66,1,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,66,101,left,rule_based_agent
11,11,65,0,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,67,101,up,rule_based_agent
11,11,64,0,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,68,101,right,rule_based_agent
11,11,100,1,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,69,101,right,rule_based_agent
11,11,99,2,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,70,101,right,rule_based_agent
11,11,98,3,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,71,101,right,rule_based_agent
11,11,97,4,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,72,101,down,rule_based_agent
11,11,96,4,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,73,101,left,rule_based_agent
11,11,95,3,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,74,101,left,rule_based_agent
11,11,100,2,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,75,101,down,rule_based_agent
11,11,99,2,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,76,101,right,rule_based_agent
11,11,100,3,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,77,101,down,rule_based_agent
11,11,99,3,7,8af96da7-cb66-4c8c-b114-ec75675b5a5e,78,101,down,rule_based_agent
11,11,100,3,6,8af96da7-cb66-4c8c-b114-ec75675b5a5e,79,101,down,rule_based_agent
11,11,99,3,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,80,101,down,rule_based_agent
11,11,98,3,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,81,101,right,rule_based_agent
11,11,97,4,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,82,101,down,rule_based_agent
11,11,96,4,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,83,101,right,rule_based_agent
11,11,95,5,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,84,101,right,rule_based_agent
11,11,94,6,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,85,101,down,rule_based_agent
11,11,93,6,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,86,101,down,rule_based_agent
11,11,92,6,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,87,101,right,rule_based_agent
11,11,100,7,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,88,101,right,rule_based_agent
11,11,99,8,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,89,101,right,rule_based_agent
11,11,98,9,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,90,101,right,rule_based_agent
11,11,97,10,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,91,101,down,rule_based_agent
11,11,96,10,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,92,101,left,rule_based_agent
11,11,100,9,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,93,101,left,rule_based_agent
11,11,100,8,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,94,101,left,rule_based_agent
11,11,99,7,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,95,101,left,rule_based_agent
11,11,98,6,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,96,101,left,rule_based_agent
11,11,97,5,0,8af96da7-cb66-4c8c-b114-ec75675b5a5e,97,101,up,rule_based_agent
11,11,96,5,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,98,101,up,rule_based_agent
11,11,100,5,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,99,101,left,rule_based_agent
11,11,99,4,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,100,101,down,rule_based_agent
11,11,98,4,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,101,101,left,rule_based_agent
11,11,97,3,1,8af96da7-cb66-4c8c-b114-ec75675b5a5e,102,101,up,rule_based_agent
11,11,96,3,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,103,101,up,rule_based_agent
11,11,95,3,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,104,101,right,rule_based_agent
11,11,94,4,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,105,101,right,rule_based_agent
11,11,93,5,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,106,101,right,rule_based_agent
11,11,92,6,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,107,101,up,rule_based_agent
11,11,91,6,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,108,101,up,rule_based_agent
11,11,100,6,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,109,101,left,rule_based_agent
11,11,99,5,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,110,101,left,rule_based_agent
11,11,98,4,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,111,101,down,rule_based_agent
11,11,97,4,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,112,101,left,rule_based_agent
11,11,96,3,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,113,101,left,rule_based_agent
11,11,95,2,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,114,101,up,rule_based_agent
11,11,94,2,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,115,101,left,rule_based_agent
11,11,93,1,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,116,101,down,rule_based_agent
11,11,92,1,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,117,101,down,rule_based_agent
11,11,91,1,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,118,101,left,rule_based_agent
11,11,90,0,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,119,101,up,rule_based_agent
11,11,89,0,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,120,101,up,rule_based_agent
11,11,88,0,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,121,101,up,rule_based_agent
11,11,87,0,6,8af96da7-cb66-4c8c-b114-ec75675b5a5e,122,101,up,rule_based_agent
11,11,86,0,7,8af96da7-cb66-4c8c-b114-ec75675b5a5e,123,101,right,rule_based_agent
11,11,85,1,7,8af96da7-cb66-4c8c-b114-ec75675b5a5e,124,101,right,rule_based_agent
11,11,84,2,7,8af96da7-cb66-4c8c-b114-ec75675b5a5e,125,101,up,rule_based_agent
11,11,83,2,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,126,101,up,rule_based_agent
11,11,82,2,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,127,101,up,rule_based_agent
11,11,81,2,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,128,101,right,rule_based_agent
11,11,80,3,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,129,101,right,rule_based_agent
11,11,79,4,10,8af96da7-cb66-4c8c-b114-ec75675b5a5e,130,101,down,rule_based_agent
11,11,78,4,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,131,101,left,rule_based_agent
11,11,77,3,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,132,101,down,rule_based_agent
11,11,76,3,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,133,101,right,rule_based_agent
11,11,75,4,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,134,101,right,rule_based_agent
11,11,74,5,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,135,101,right,rule_based_agent
11,11,100,6,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,136,101,up,rule_based_agent
11,11,99,6,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,137,101,right,rule_based_agent
11,11,98,7,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,138,101,right,rule_based_agent
11,11,100,8,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,139,101,right,rule_based_agent
11,11,99,9,9,8af96da7-cb66-4c8c-b114-ec75675b5a5e,140,101,down,rule_based_agent
11,11,98,9,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,141,101,left,rule_based_agent
11,11,97,8,8,8af96da7-cb66-4c8c-b114-ec75675b5a5e,142,101,down,rule_based_agent
11,11,96,8,7,8af96da7-cb66-4c8c-b114-ec75675b5a5e,143,101,down,rule_based_agent
11,11,95,8,6,8af96da7-cb66-4c8c-b114-ec75675b5a5e,144,101,left,rule_based_agent
11,11,94,7,6,8af96da7-cb66-4c8c-b114-ec75675b5a5e,145,101,down,rule_based_agent
11,11,93,7,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,146,101,right,rule_based_agent
11,11,92,8,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,147,101,right,rule_based_agent
11,11,91,9,5,8af96da7-cb66-4c8c-b114-ec75675b5a5e,148,101,down,rule_based_agent
11,11,90,9,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,149,101,left,rule_based_agent
11,11,89,8,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,150,101,down,rule_based_agent
11,11,88,8,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,151,101,right,rule_based_agent
11,11,87,9,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,152,101,down,rule_based_agent
11,11,86,9,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,153,101,right,rule_based_agent
11,11,100,10,2,8af96da7-cb66-4c8c-b114-ec75675b5a5e,154,101,up,rule_based_agent
11,11,99,10,3,8af96da7-cb66-4c8c-b114-ec75675b5a5e,155,101,up,rule_based_agent
11,11,98,10,4,8af96da7-cb66-4c8c-b114-ec75675b5a5e,156,101,up,rule_based_agent
